Ενώτιο,ΑΦΜ,Ονομα,Είδος,Στο μητρώο,Σχόλια,Πλήθος
62037570071,127137474,Pappas1,Προβατίνα,NAI,ΠΩΛ,
62037570055,127137474,Pappas1,Προβατίνα,NAI,ΣΦΓ,
62037570012,127137474,Pappas1,Προβατίνα,NAI,ΘΑΝ,
62037570021,127137474,Pappas1,Προβατίνα,NAI,ΔΠΛ,
62037570027,127137474,Pappas1,Προβατίνα,NAI,ΛΘΣ,
62037570063,127137474,Pappas1,Προβατίνα,NAI,ΜΟΝ,
62037570065,127137474,Pappas1,Προβατίνα,NAI,,
62037570066,127137474,Pappas1,Προβατίνα,NAI,,
62037570067,127137474,Pappas1,Προβατίνα,NAI,,
62037570068,127137474,Pappas1,Προβατίνα,NAI,,
62037570069,127137474,Pappas1,Προβατίνα,NAI,,
62037570070,127137474,Pappas1,Προβατίνα,NAI,,
62039000071,127137486,Pappas2,Προβατίνα,NAI,,
62039000072,127137486,Pappas2,Προβατίνα,NAI,,
62039000073,127137486,Pappas2,Προβατίνα,NAI,,
62039000074,127137486,Pappas2,Προβατίνα,NAI,,
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΝΑΙ,<2010,1
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΝΑΙ,>2010,1
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΝΑΙ,ΜΟΝ,1
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΟΧΙ,,1
ΣΥΜΒΑΤΙΚΑ,127137486,Pappas2,Προβατίνα,ΝΑΙ,<2010,1
ΣΥΜΒΑΤΙΚΑ,127137486,Pappas2,Προβατίνα,ΝΑΙ,>2010,1
ΣΥΜΒΑΤΙΚΑ,127137486,Pappas2,Προβατίνα,ΝΑΙ,ΜΟΝ,1
ΣΥΜΒΑΤΙΚΑ,127137486,Pappas2,Προβατίνα,ΟΧΙ,,1
ΚΑΘΟΛΟΥ,127137474,Pappas1,,,,5
ΚΑΘΟΛΟΥ < 6 ΜΗΝΩΝ,127137474,Pappas1,,,,5
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Καταμετρηθέντα,,,25
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Χωρίς σήμανση,,,6
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,< 6 μηνών χωρίς σήμανση,,,5
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Χωρίς ηλ. Σήμανση,,,6
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Με σήμανση που δεν αναγράφονται στο μητρώο,,,4
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Μονό ενώτιο,,,2
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Προβατίνα,,,9
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Κριοί-Τράγοι,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Γίδα,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Ιπποειδή,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Αμνοερίφια,,,5
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Καταμετρηθέντα,,,8
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Χωρίς σήμανση,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,< 6 μηνών χωρίς σήμανση,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Χωρίς ηλ. Σήμανση,,,1
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Με σήμανση που δεν αναγράφονται στο μητρώο,,,1
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Μονό ενώτιο,,,1
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Προβατίνα,,,6
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Κριοί-Τράγοι,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Γίδα,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Ιπποειδή,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137486,Pappas2,Αμνοερίφια,,,0
